filename,title,college,level,url
Aboriginal_Teacher_Associate_Certificate_Program.txt,Aboriginal Teacher Associate Certificate Program,Education,Undergraduate,https://programs.usask.ca/education/aboriginal-teacher-associate-certificate-program/index.php
Accounting.txt,Accounting,Edwards School of Business,Undergraduate,https://programs.usask.ca/edwards/accounting/index.php
Accounting_2.txt,Accounting,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/accounting/index.php
Accounting_for_Decision-Making_Certificate.txt,Accounting for Decision-Making Certificate,Edwards School of Business,Undergraduate,https://programs.usask.ca/edwards/certificate-accounting-decision-making/index.php
Advanced_French_Language_and_Culture_Certificate.txt,Advanced French Language and Culture Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/advanced-french-language-and-culture/index.php
Advanced_Studio_Art_Certificate.txt,Advanced Studio Art Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/advanced-studio-art/index.php
Agribusiness.txt,Agribusiness,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/agribusiness/index.php
Agribusiness_Entrepreneurship.txt,Agribusiness Entrepreneurship,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/agribusiness-entrepreneurship/index.php
Agricultural_Biology.txt,Agricultural Biology,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/agricultural-biology/index.php
Agricultural_Economics.txt,Agricultural Economics,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/agricultural-economics/index.php
Agricultural_Economics_10.txt,Agricultural Economics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/agricultural-economics/index.php
Agronomy.txt,Agronomy,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/agronomy/index.php
Anatomy_Physiology_and_Pharmacology.txt,"Anatomy, Physiology and Pharmacology",Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/anatomy-physiology-pharmacology/index.php
Animal_Bioscience.txt,Animal Bioscience,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/animal-bioscience/index.php
Animal_Science.txt,Animal Science,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/animal-science/index.php
Animal_Science_15.txt,Animal Science,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/animal-science/index.php
Anthropology.txt,Anthropology,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/anthropology/index.php
Anthropology_17.txt,Anthropology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/anthropology/index.php
Applied_Computing.txt,Applied Computing,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/applied-computing/index.php
Applied_Computing_19.txt,Applied Computing,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/applied-computing-grad/index.php
Applied_Economics.txt,Applied Economics,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/applied-economics/index.php
Applied_Gender_Justice_Certificate.txt,Applied Gender Justice Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/applied-gender-justice/index.php
Applied_Mathematics.txt,Applied Mathematics,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/applied-mathematics/index.php
Applied_Microbiology.txt,Applied Microbiology,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/applied-microbiology/index.php
Applied_Microbiology_24.txt,Applied Microbiology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/applied-microbiology/index.php
Applied_Plant_Ecology.txt,Applied Plant Ecology,Agriculture and Bioresources,Undergraduate,https://programs.usask.ca/agriculture-and-bioresources/applied-plant-ecology/index.php
Archaeology.txt,Archaeology,Graduate and Postdoctoral Studies,Graduate,https://programs.usask.ca/grad-studies/archaeology/index.php
Art_History.txt,Art History,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/art-history/index.php
Astronomy_Certificate.txt,Astronomy Certificate,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/astronomy/index.php
Biochemistry.txt,Biochemistry,Arts and Science,Undergraduate,https://programs.usask.ca/arts-and-science/biochemistry/index.php
